osm_id,name,ref,type,oneway,bridge,maxspeed,BUFF_DIST,ORIG_FID
134816753,None,None,track,0,1,0,10.0,409
134816755,None,None,unclassified,0,1,0,10.0,410
134816757,None,None,track,0,1,0,10.0,411
134816758,None,None,unclassified,0,1,0,10.0,412
134816759,None,None,unclassified,0,1,0,10.0,413
134816760,None,None,residential,0,0,0,10.0,414
134816761,None,None,secondary,0,1,0,10.0,415
134816763,None,None,unclassified,0,1,0,10.0,416
134816765,None,None,unclassified,0,1,0,10.0,417
134816766,小王村路,X528,secondary,0,0,0,10.0,418
134816767,None,None,residential,0,0,0,10.0,419
134816768,None,None,residential,0,0,0,10.0,420
134816769,None,None,residential,0,0,0,10.0,421
134816770,None,None,residential,0,0,0,10.0,422
134816772,None,None,residential,0,0,0,10.0,423
134816773,None,None,residential,0,0,0,10.0,424
134816775,None,None,residential,0,0,0,10.0,425
134816776,None,None,residential,0,0,0,10.0,426
134816777,None,None,residential,0,0,0,10.0,427
134816778,None,None,unclassified,0,0,0,10.0,428
134816779,None,None,tertiary,0,0,0,10.0,429
134816780,None,None,unclassified,0,0,0,10.0,430
134816781,None,None,residential,0,0,0,10.0,431
134816783,None,None,unclassified,0,0,0,10.0,432
134816785,None,None,unclassified,0,0,0,10.0,433
134816786,None,None,track,0,0,0,10.0,434
134816789,None,None,unclassified,0,0,0,10.0,435
134816790,None,None,residential,0,0,0,10.0,436
134816791,None,None,residential,0,0,0,10.0,437
134816793,None,None,residential,0,0,0,10.0,438
134816794,None,None,residential,0,0,0,10.0,439
134816795,None,None,tertiary,0,0,0,10.0,440
134816798,None,None,secondary,0,0,0,10.0,441
134816799,None,None,unclassified,0,0,0,10.0,442
134816801,None,None,residential,0,0,0,10.0,443
134816806,None,None,track,0,0,0,10.0,444
134816807,None,None,unclassified,0,0,0,10.0,445
134816808,None,None,residential,0,0,0,10.0,446
134816812,None,None,residential,0,0,0,10.0,447
134816813,None,None,residential,0,0,0,10.0,448
134816814,None,None,residential,0,0,0,10.0,449
134816815,None,None,track,0,0,0,10.0,450
134816817,None,None,residential,0,0,0,10.0,451
134816819,梅石路,None,tertiary,0,0,0,10.0,452
134816820,None,None,residential,0,0,0,10.0,453
134816822,None,None,residential,0,0,0,10.0,454
134816823,None,None,residential,0,0,0,10.0,455
134816824,None,None,residential,0,0,0,10.0,456
134816825,None,None,track,0,0,0,10.0,457
134816826,None,None,residential,0,0,0,10.0,458
134816827,None,None,track,0,0,0,10.0,459
134816828,None,None,residential,0,0,0,10.0,460
134816829,None,None,residential,0,0,0,10.0,461
134816830,None,None,residential,0,0,0,10.0,462
134816833,None,None,unclassified,0,0,0,10.0,463
134816834,None,None,unclassified,0,0,0,10.0,464
134816838,None,None,residential,0,0,0,10.0,465
134816839,None,None,track,0,0,0,10.0,466
134816840,None,None,residential,0,0,0,10.0,467
134816843,None,None,unclassified,0,0,0,10.0,468
134816844,None,None,residential,0,0,0,10.0,469
134816848,None,None,track,0,0,0,10.0,470
134816850,None,None,tertiary,0,0,0,10.0,471
134816852,None,None,residential,0,0,0,10.0,472
134816853,None,None,unclassified,0,0,0,10.0,473
134816855,None,None,residential,0,0,0,10.0,474
134816857,None,None,residential,0,0,0,10.0,475
134816859,None,None,residential,0,0,0,10.0,476
134816861,None,None,residential,0,0,0,10.0,477
134816865,None,None,residential,0,0,0,10.0,478
134816866,None,None,unclassified,0,0,0,10.0,479
134816869,None,None,track,0,0,0,10.0,480
134816872,None,None,unclassified,0,0,0,10.0,481
134955902,None,None,tertiary,0,0,0,10.0,482
134955903,葛马线,X756,secondary,0,0,0,10.0,483
134955904,None,None,residential,0,0,0,10.0,484
134955905,None,None,tertiary,0,0,0,10.0,485
134955906,京岚线,G104,trunk,1,0,0,10.0,486
134955907,None,None,unclassified,0,1,0,10.0,487
134955908,None,None,residential,0,0,0,10.0,488
134955909,None,None,secondary,0,1,0,10.0,489
134955910,None,None,residential,0,0,0,10.0,490
134955911,None,None,unclassified,0,0,0,10.0,491
134955913,None,None,track,0,1,0,10.0,492
134955914,None,None,track,0,1,0,10.0,493
134955915,None,None,residential,0,0,0,10.0,494
134955916,None,None,residential,0,0,0,10.0,495
134955917,None,None,residential,0,0,0,10.0,496
134955918,None,None,residential,0,0,0,10.0,497
134955919,福发路,G104,trunk,1,1,0,10.0,498
134955921,None,None,tertiary,0,0,0,10.0,499
134955922,None,None,residential,0,0,0,10.0,500
134955923,None,None,residential,0,0,0,10.0,501
134955924,None,None,residential,0,0,0,10.0,502
134955925,None,None,residential,0,0,0,10.0,503
134955926,None,None,track,0,0,0,10.0,504
134955927,None,None,residential,0,0,0,10.0,505
134955928,None,None,track,0,1,0,10.0,506
134955929,None,None,residential,0,0,0,10.0,507
134955930,None,None,residential,0,0,0,10.0,508
134955931,None,None,residential,0,0,0,10.0,509
134955932,None,None,unclassified,0,0,0,10.0,510
134955933,None,None,residential,0,0,0,10.0,511
134955934,None,None,tertiary,0,1,0,10.0,512
134955935,None,None,residential,0,0,0,10.0,513
134955936,None,None,tertiary,0,1,0,10.0,514
134955937,None,None,residential,0,0,0,10.0,515
134955938,None,S112,primary,0,1,0,10.0,516
134955939,京岚线,G104,trunk,1,0,0,10.0,517
134955940,None,None,residential,0,0,0,10.0,518
134955941,None,None,residential,0,0,0,10.0,519
134955942,None,None,unclassified,0,0,0,10.0,520
134955943,None,None,residential,0,0,0,10.0,521
134955945,None,None,residential,0,0,0,10.0,522
134955946,None,None,residential,0,0,0,10.0,523
134955947,None,None,residential,0,0,0,10.0,524
134955948,None,None,track,0,0,0,10.0,525
134955949,None,None,residential,0,0,0,10.0,526
134955950,None,None,residential,0,0,0,10.0,527
134955951,None,None,track,0,0,0,10.0,528
134955952,None,None,residential,0,0,0,10.0,529
134955953,None,None,residential,0,0,0,10.0,530
134955954,None,None,unclassified,0,0,0,10.0,531
